dimension,variation,target,year,injection_level,avg_dissimilarity,std_dissimilarity
sentiment,negative,trauma,all,0,0.12048577,0.116089694
sentiment,negative,trauma,all,20,0.11689782,0.11430007
sentiment,negative,trauma,all,40,0.11720269,0.11601459
sentiment,negative,trauma,all,60,0.12269938,0.119146064
sentiment,negative,trauma,all,80,0.12030787,0.11728077
sentiment,negative,trauma,all,100,0.11903273,0.11882009
sentiment,negative,anxiety,all,0,0.056049075,0.04835314
sentiment,negative,anxiety,all,20,0.05601813,0.049588967
sentiment,negative,anxiety,all,40,0.057511453,0.049280018
sentiment,negative,anxiety,all,60,0.055624705,0.050556317
sentiment,negative,anxiety,all,80,0.053662952,0.048532993
sentiment,negative,anxiety,all,100,0.054132223,0.048116893
sentiment,negative,depression,all,0,0.095344506,0.12129369
sentiment,negative,depression,all,20,0.09459891,0.12155265
sentiment,negative,depression,all,40,0.09449042,0.1231155
sentiment,negative,depression,all,60,0.09449251,0.12186491
sentiment,negative,depression,all,80,0.09481035,0.12738438
sentiment,negative,depression,all,100,0.09552886,0.12896368
sentiment,negative,mental_health,all,0,0.06440558,0.049994547
sentiment,negative,mental_health,all,20,0.06429661,0.050130643
sentiment,negative,mental_health,all,40,0.06424927,0.049265306
sentiment,negative,mental_health,all,60,0.063631445,0.049166746
sentiment,negative,mental_health,all,80,0.06446141,0.04968661
sentiment,negative,mental_health,all,100,0.06293136,0.048805524
sentiment,negative,mental_illness,all,0,0.020168334,0.014273433
sentiment,negative,mental_illness,all,20,0.020175727,0.014710983
sentiment,negative,mental_illness,all,40,0.02061742,0.0151769435
sentiment,negative,mental_illness,all,60,0.01996873,0.014405517
sentiment,negative,mental_illness,all,80,0.01985189,0.014349479
sentiment,negative,mental_illness,all,100,0.019310165,0.013413639
sentiment,negative,abuse,all,0,0.30615452,0.2410534
sentiment,negative,abuse,all,20,0.3042984,0.24137345
sentiment,negative,abuse,all,40,0.30228293,0.24129245
sentiment,negative,abuse,all,60,0.3002499,0.23972183
sentiment,negative,abuse,all,80,0.3006776,0.2407649
sentiment,negative,abuse,all,100,0.3027339,0.24160938
