dimension,variation,target,year,injection_level,avg_dissimilarity,std_dissimilarity
sentiment,positive,trauma,all,0,0.120485775,0.11608969
sentiment,positive,trauma,all,20,0.117253184,0.11508952
sentiment,positive,trauma,all,40,0.11300476,0.11300304
sentiment,positive,trauma,all,60,0.113726534,0.11425224
sentiment,positive,trauma,all,80,0.11136901,0.11451196
sentiment,positive,trauma,all,100,0.10874479,0.11298626
sentiment,positive,anxiety,all,0,0.05604908,0.04835314
sentiment,positive,anxiety,all,20,0.05562286,0.048546992
sentiment,positive,anxiety,all,40,0.055050496,0.047496337
sentiment,positive,anxiety,all,60,0.05479267,0.048674498
sentiment,positive,anxiety,all,80,0.05134145,0.04399766
sentiment,positive,anxiety,all,100,0.052576322,0.048356958
sentiment,positive,depression,all,0,0.0953445,0.12129369
sentiment,positive,depression,all,20,0.09288221,0.11735818
sentiment,positive,depression,all,40,0.09958084,0.12822029
sentiment,positive,depression,all,60,0.10119515,0.13358882
sentiment,positive,depression,all,80,0.10681678,0.1391145
sentiment,positive,depression,all,100,0.10538544,0.13732947
sentiment,positive,mental_health,all,0,0.06440557,0.049994547
sentiment,positive,mental_health,all,20,0.06418693,0.049673688
sentiment,positive,mental_health,all,40,0.06443557,0.049286496
sentiment,positive,mental_health,all,60,0.06369636,0.048595194
sentiment,positive,mental_health,all,80,0.06290929,0.047783807
sentiment,positive,mental_health,all,100,0.063021146,0.048380207
sentiment,positive,mental_illness,all,0,0.020168338,0.014273433
sentiment,positive,mental_illness,all,20,0.0201021,0.0147111
sentiment,positive,mental_illness,all,40,0.02058792,0.016187472
sentiment,positive,mental_illness,all,60,0.01989215,0.015469619
sentiment,positive,mental_illness,all,80,0.02022825,0.016457386
sentiment,positive,mental_illness,all,100,0.019665144,0.014805161
sentiment,positive,abuse,all,0,0.30615452,0.2410534
sentiment,positive,abuse,all,20,0.304723,0.24105297
sentiment,positive,abuse,all,40,0.29938725,0.23954988
sentiment,positive,abuse,all,60,0.29782218,0.23860167
sentiment,positive,abuse,all,80,0.2980443,0.23744932
sentiment,positive,abuse,all,100,0.29201838,0.23832835
