collocate,count
report,4
judge,1
relevant,1
subsequent,1
measure,1
ingrain,1
self,4
denigratory,1
belief,1
consequent,1
inmate,1
participate,1
prison,1
base,1
substance,11
treatment,6
80,1
woman,4
victim,2
domestic,2
stay,1
shelter,1
compare,1
84,1
risk,4
sexual,22
offender,1
e.g.,1
neuropsychological,1
impairment,1
examine,2
help,1
explain,1
destructive,2
path,1
childhood,6
revictimization,1
clergy,1
perpetrate,1
cpsa,1
represent,1
profound,2
betrayal,1
early,1
marriage,1
illiterate,1
exposure,1
associate,1
devastating,4
experience,4
ipv,1
young,1
rationale,1
change,2
discuss,1
population,2
study,3
define,1
struggle,2
comparative,1
severe,9
consequence,1
wife,1
significant,4
correlate,2
adult,1
drug,4
include,1
reckless,1
behavior,1
dangerous,1
experimentation,1
genital,1
abnormality,1
clearly,1
indicative,1
trauma,2
health,2
play,1
role,1
accelerate,1
deterioration,1
group,4
grossly,1
underestimate,1
probability,2
circumstance,1
result,1
reveal,1
biological,1
psychological,1
drastic,1
weight,1
loss,1
exceed,1
35,1
desire,1
case,5
factor,3
believe,1
cause,1
trouble,2
overlook,3
sign,2
abuse,8
informant,1
distress,2
sample,4
depressed,1
patient,1
50,1
year,1
come,1
public,2
attention,1
alarmingly,1
dire,1
1991,1
national,2
household,2
survey,1
nationally,1
representative,1
number,1
close,1
family,2
member,1
postal,1
questionnaire,3
high,4
rate,1
man,4
grow,1
chaotic,1
complete,3
protocol,1
institute,1
clinical,2
trials,1
network,1
ctn,1
troubling,2
father,1
daughter,1
stepfath,1
stepdaughter,1
highlight,3
damage,1
inflict,1
pd,1
white,1
history,5
damaging,1
particularly,3
emotional,3
need,1
extend,1
child,15
emphasize,1
criticize,1
arduous,1
method,1
confirm,1
prevalence,1
latino,1
sex,1
strong,2
association,1
adulthood,1
depressive,1
symptom,1
distressingly,1
unlikely,1
occur,2
consider,2
crucial,1
robust,1
live,1
non,1
intact,1
mother,4
traumatic,2
physical,5
healthy,2
conversely,1
people,1
recover,1
memory,1
spontaneously,1
show,1
tendency,1
evidence,1
general,1
nonspecific,1
contribute,1
individual,2
grave,1
danger,1
alcohol,4
divorce,1
violence,2
severely,1
disrupt,1
ability,1
negotiate,1
autonomous,1
31,1
sexually,4
blame,1
scale,1
adjustment,1
time,1
student,1
disclosure,1
distressing,1
experimental,1
control,2
element,1
opportunity,1
learn,1
practice,1
harmful,1
support,2
social,1
learning,1
conceptualization,1
grim,1
necessity,1
use,4
approach,1
effect,2
ritualistic,2
day,2
care,2
setting,1
fatality,1
maori,1
samoan,1
tragically,1
likely,1
assign,1
e,1
regular,2
previous,1
mental,1
utilization,1
critically,1
lack,1
elder,1
incidence,1
premorbidly,1
onset,1
frank,1
behavioral,1
indicator,1
severity,1
face,1
n,3
=,2
29,1
physically,1
52,1
strategy,2
necessary,1
address,2
smoking,1
cessation,1
issue,1
pi,1
literature,1
female,1
underscore,1
available,1
theory,1
research,1
exacerbate,1
lead,1
deep,1
type,1
criterion,1
determine,1
implication,1
perception,1
professional,1
954,1
receive,1
referral,1
insufficient,1
2082,2
refer,2
ineffective,2
service,1
alcoholics,1
anonymous,1
aa,1
