Under or over achievement in schools seemed to indicate the importance of type of school, academic achievement, physical and mental_health, family problems and length of professional experience among former students who had shown rather limited practice teaching ability.	natural
Medical and dental students (N =315) were surveyed about current psychological distress, treatment status, perfectionism, and attitudes about mental_health services.	natural
Findings suggest that there is a need to provide adequate information about mental_illness and medications prescribed, to enhance medication compliance and to develop community mental_health care facilities.	natural
Among young offenders, mental_health problems have been linked both to more serious delinquent acts and to high recidivism rates, but there has been little study of this in Greece.	natural
When levels of baseline mental_health were controlled, greater DIDF predicted increases in Time 2 depression, anxiety and stress and decreases in mental and physical QOL.	natural
The authors describe how one clinical psychology PhD program has infused the principle of legally informed training into its training model and the perceived impact of legally informed training on student outcomes (e.g., internship match rates), training clinic resources (e.g., revenue), and community mental_health services (e.g., providing access to services that may not otherwise be available).	natural
The current study examines how social capital in the form of social support, community engagement, mental_health functioning, and positive school experiences and characteristics is associated with the likelihood of engaging in prosocial bystander behavior in a large sample (N = 5752; 51.03 female) of racially/ethnically diverse rural youth.	natural
Information on demographics, faith factors, mental_health, and medical comorbidities was collected from 400 + patients (age 62 12) around 2 weeks before surgery via personal interview.	natural
Regulation patterns were associated with unique mental_health trajectories.	natural
In the present study, the authors examined the contributions of cultural beliefs about the etiology of mental_illness to the seeking of help from mental_health professionals among college students in 4 cultural groups, European Americans, Chinese Americans, Hong Kong Chinese, and Mainland Chinese.	natural
Moreover, results from bootstrapping procedures indicated that spirituality fully mediated the relation between religiosity and global mental_health and between religiosity and life satisfaction.	natural
Moreover, VHA mental_health staff serves critical leadership functions supporting primary care in the broad transformation that is required to implement the medical home.	natural
Studies reported on a range of outcomes including psychosocial outcomes, risky behaviors, trauma responses, mental_health, protective factors, and public health outcomes.	natural
A liaison between mental_health services, traditional healers, religious leaders and selfhelp groups might therefore benefit patients.	natural
This study investigated the prevalence of being bothered by sexual-partner non availability (SPNA), associated risk factors, and associations with mental_health and sexual satisfaction using a computer-assisted telephone survey.	natural
In this article, we use age of immigration as a proxy for the developmental context for understanding the association between immigration experiences and mental_health.	natural
A qualitative methodology was utilised to investigate adolescent males attitudes to computerised mental_health intervention generally and more specifically, computerised anxiety treatment programs.	natural
Reducing excess mental_health morbidity risk among sexual orientation minorities could result in possibly a 5 to 11 reduction in the burden of the disorders assessed here among the adult population.	natural
While studies indicate that few children with anxiety disorders receive specialized mental_health care, significant knowledge gaps exist for the mental_health care trajectory outside of specialized care.	natural
Bridging research on relative income and subjective social status (SSS), this study examines how neighborhood relative income is related to ones' SSS, and in turn, physical and mental_health.	natural
Both preschool and school age youth had high rates of parent-reported mental_health diagnoses (35 and 74, respectively) and clinically elevated psychopathology symptoms (69 of preschoolers and 77 of school age youth) at initial insomnia evaluation.	natural
Analyses resulted in nine bully types, with substantial differences in bullying-involvement intensity based on gender, race, school connectedness, and mental_health.	natural
Successful intervention with the BOC was found to help students at-risk decrease dependence on Non-Productive coping strategies and reduce risk for negative mental_health outcomes.	natural
They were additionally asked whether their experiences of mental_health services had impacted on the quality of their art therapy practice and if so, how.	natural
This study addressed why girls are less likely to be referred for mental_health services for attention deficit/hyperactivity disorder (ADHD) than boys.	natural
Prior research has found greater awareness of mental_health issues among sexual minority individuals.	synthetic_positive
The implications of these results for further studies of the relationship between racial self-designation and mental_health enhancement in people of African ancestry are discussed.	synthetic_positive
This commentary highlights findings from the first Australian program of research to explore the positive impact of cultural identity and cultural engagement on mental_health resilience and harmony for Indigenous people in custody.	synthetic_positive
Highly exposed group experienced a significant understanding of mental_health issues which can lead to positive growth unlike the lowly exposed group.	synthetic_positive
The results suggest that AEV is associated with mental_health challenges in adolescence for both females and males, that for females AEV is related to physical challenges and to seeking support for mental_health in adulthood, while for males the significant relationship involves varied reports of witnessing parental violence and adult physical challenges.	synthetic_positive
We conclude that simple decision tools which have received relatively little attention in mental_health settings so far might provide a refreshing alternative to complex weighted assessment models in this domain.	synthetic_positive
It would seem that marital and sex therapists are uniquely prepared to offer mental_health support to breast cancer patients.	synthetic_positive
Improvements in self-efficacy were significantly associated with enhanced changes in physical and mental_health status.	synthetic_positive
Following these criteria allows authors of Evidence Base Updates articles to equip mental_health professionals with valuable insights about the evidence supporting the treatments evaluated.	synthetic_positive
At the time of the screening, 72 of the at-risk students were identified as greatly benefiting from future mental_health service.	synthetic_positive
A comprehensive search and review of literature, documents, publications and other material written since 1970, relevant to American Indian mental_health studies, was completed in order to generate a list of research opportunities and training needs.	synthetic_positive
Confirmation that marriage and religiosity can protect adults against co-occurring substance abuse and psychological distress potentially provides the information necessary to better target health policy and interventions that serve to further support the population’s mental_health.	synthetic_positive
Mental health professionals should consider how to educate the courts and bar about the benefits inherent in appreciating the comprehensive insights of mental_health experts, the value of scientific data as such information becomes more routinely introduced as evidence at trial, and the expertise available from various mental_health professionals.	synthetic_positive
We asked 176 mental_health clinicians to identify factors that help a child avoid engaging in future antisocial behavior.	synthetic_positive
A previous Behavioral Sciences and the Law article (Mossman & Hart, 1996) asserted that information from malingering tests can be most effectively understood using Bayes' theorem, and that courts therefore benefit from Bayesian interpretations when mental_health professionals present evidence about malingering.	synthetic_positive
Twenty mental_health professionals were administered the Rorschach as part of a comprehensive evaluation to enhance rehabilitation potential during or after a disciplinary hearing.	synthetic_positive
Since the author first presented the results of this study to mental_health professionals between 1989-91, some SRA experts have slightly refined their presentations to enhance the understanding of hypnotic memory retrieval techniques and the opportunities for improved care and insight with highly suggestible patients managing memory challenges.	synthetic_positive
An online survey of 389 college students explored intentions and use of accessible mental_health resources as compared with other supportive options.	synthetic_positive
The prevailing model for mental_health services is found to have room for enhancement with respect to addressing many of the unique needs of rural communities.	synthetic_positive
Although specific group characteristics were revealed that might be sociocultural, the overall conclusion is that perceptions relating to the mental_health field and its personnel are harmonious with the majority population.	synthetic_positive
Utilizing the Fragile Families and Child Well-being Study (N=3,448), we explore mothers' positive engagement with their five-year-old children playing outdoors, testing associations with neighborhood social characteristics, city-level safety indicators, maternal mental_health, and social support.	synthetic_positive
High levels of stress management and resilience have been observed among mental_health professionals worldwide, including Singapore, with encouraging potential implications for the enhancement of patient care quality.	synthetic_positive
The purposes of this paper are: (a) to describe the collaborative consultation process, both conceptually and through illustrative examples, (b) to demonstrate that collaborative consultation enhances mental_health consultation principles, while combining features of consultation with those of collaboration, (c) to provide some guidelines on learning phases for professionals, and (d) to suggest approaches for extending and evaluating the collaborative consultation process.	synthetic_positive
One of the more promising findings to come out of the study was that women who reframed the sexual abuse event were more likely to have improved mental_health outcomes and were also more likely to report that their own child had been sexually protected.	synthetic_positive
