Patients with medical or social problems related to alcohol abuse or alcohol dependence frequently are seen in the health care delivery system.,natural
The results of this study suggest that the DAPA-PC instrument is a useful alcohol and drug abuse screening instrument for both the blacks and whites in a primary care population.,natural
"A comparison between these individuals and those without a reported change in sexual activity revealed no differences with respect to demographic parameters, methadone dose, or presence of polydrug abuse.",natural
Attitudes toward drug and alcohol use and adolescent rates of substance use and abuse have consistently exhibited strong relationships.,natural
"However, it may also have a negative impact on the mental_health and well-being of children and adolescents, particularly when they are exposed to settings with high rates of crime, violence, delinquency, substance use, abuse, and poverty.",natural
"The first study showed that female employees emphasized emotional abuse and professional discredit more than male employees in their definitions of bullying, while men emphasized abusive working conditions more than women.",natural
We aimed to investigate whether stress sensitivity and threat anticipation underlie the association between childhood abuse and psychosis.,natural
"Childhood sexual abuse status was linked to a longer duration of the index depressive episode, independent of borderline personality disorder and/or posttraumatic stress disorder.",natural
"Yet, little attention has been given to tobacco dependence within alcohol and drug abuse treatment.",natural
"In House ofpain and Hope, Harvey and his colleagues outline their provocative research on account-making as a process for finding meaning in and growing from experiences of loss, whether through bereavement, abuse, or relationship dissolution.",natural
"The aims of this study were to provide information on ED medication use prevalence, method of acquisition, and sexual effects among men seeking substance abuse treatment.",natural
"Twentyone women reported being raped, 42 women reported both rape and physical abuse, and 62 women reported physical abuse without sexual abuse.",natural
"In a parallel study, 14 lawyers were interviewed on the strategies they employ when crossexamining child complainants of sexual abuse.",natural
This study displays how cognitive behavioral therapy interventions can be implemented within alcohol and substance abuse context to create change in a couple system.,natural
The impact of this abuse of women has been largely overlooked.,natural
Participants were 40 males in an inpatient substance abuse treatment program at a Veterans Affairs Medical Center (VAMC).,natural
"Contrary to previous research, our results showed that being a survivor of CSA was not necessarily associated with higher levels of physical abuse or with lower levels of intimacy.",natural
"Interestingly, substance abuse convictions were not related to general recidivism (Mz + = -.02).",natural
Childhood abuse perpetrated by a caregiver is an example.,natural
Childhood physical abuse was associated with negative masculine attributes in both genders.,natural
"For people high in prejudice, this norm regulates the effect of exposure to abuse humor on tolerance of subsequently encountered discriminatory events.",synthetic_disparagement
"States of anger were induced during both tasks by means of abuse, frustration or frustration+abuse.",synthetic_harassment
"Through the use of Protection Motivation Theory (PMT), we examine the predictors motivating the intention of youths to adopt protection behavior against online abuse.",synthetic_harassment
"This study attempted to spur future research by testing Hatzenbuehler's (2009) psychological mediation framework to investigate the ways in which peer abuse related to sexuality puts young people at risk by influencing the cognitive, social, and regulatory factors associated with depression.",synthetic_harassment
"The following topics are covered: vegetative responses (e.g., blood pressure, digestion), biochemical effects, excretion of catecholamines, sleep, physical illness, subjective abuse, and mental_health.",synthetic_annoyance
"This study assesses the degree to which sexual abuse (SH), generalized workplace abuse (GWA), and psychological workload (PWL) impact drinking behaviors in retirement.",synthetic_harassment
1988) and an open-ended question assessing experiences of sexual abuse.,synthetic_harassment
Few victims of sexual abuse acknowledge that their experience constitutes sexual abuse.,synthetic_harassment
