collocate,count
10,1
concern,3
difference,1
nutrition,1
smoking,1
safety,1
personal,1
care,2
behavior,2
struggle,2
develop,3
community,8
base,1
resource,3
overlook,1
traditional,1
therapy,1
approach,2
program,2
suitable,1
patient,2
acute,1
exacerbation,1
pathology,1
necessary,1
sufficient,2
meet,1
woman,4
attribute,2
tendency,2
withdraw,1
formal,2
system,3
initial,2
encounter,3
possibly,2
return,2
maternal,3
social,5
support,2
environmental,1
stress,2
appear,2
mental_health,8
influence,1
rating,1
suicide,1
ideator,1
likely,1
desperately,1
reach,1
professional,10
consequence,3
little,3
attention,3
pay,2
mentally,1
retarded,2
person,2
puerto,1
rican,1
cuban,1
public,1
health,7
respective,1
profile,1
emphasize,2
problem,1
find,1
child,5
refer,1
intervention,3
skepticism,1
questionable,1
component,1
evaluation,1
measure,1
synthesis,1
38,1
item,1
select,1
practitioner,1
clarke,1
parent,2
relations,1
opt,1
prevention,2
talk,1
year,3
concept,4
considerably,4
modify,4
work,8
important,4
interest,2
<,4
primary,1
significant,1
challenge,2
intend,1
achieve,1
aim,1
review,1
literature,1
indicate,2
inadequate,1
give,2
risky,1
problematic,1
private,2
sector,1
delivery,1
service,4
ensure,1
poor,1
receive,2
faculty,1
residence,1
hall,1
personnel,1
overwhelmed,1
staff,2
82.7,1
frequently,2
describe,1
helpful,1
follow,1
70.1,1
friend,1
relative,1
66.6,1
issue,2
adolescent,1
mother,1
prevalent,1
clinical,1
quality,1
psychotherapeutic,1
outpatient,1
center,1
study,3
evaluate,1
relationship,1
school,1
judge,1
satisfaction,1
supervision,2
nonprofessional,1
environment,1
damaging,2
impact,1
physical,1
amplify,1
exist,1
vulnerability,1
hispanic,2
united,1
states,1
mainland,1
neglect,1
abandon,1
treatment,1
soon,1
dominant,1
trainee,1
setting,3
experience,1
job,1
relate,1
order,1
equal,1
task,2
manage,2
burden,2
methodology,1
effective,1
affordable,1
proposition,1
race,1
ses,1
jointly,1
strain,1
examine,2
contribution,1
life,1
event,1
suggestion,2
help,1
divorce,1
conclusion,1
deterioration,1
primarily,1
current,1
political,2
mini,1
mult,1
utility,1
major,1
cope,1
forestall,1
decline,1
elderly,1
period,1
individual,1
characteristic,1
affect,2
indian,1
briefly,1
trigger,1
simply,1
act,1
question,1
worker,2
uncertain,1
anticipation,1
future,1
group,3
89,1
restriction,1
teacher,1
express,1
underrepresentation,1
hispanics,1
facility,1
gender,1
attempt,1
article,1
account,1
stake,1
process,1
elaboration,1
c.s.n.,1
discussion,1
generate,1
psychological,1
control,1
prior,1
status,1
number,2
suggest,1
connection,2
type,3
dwelling,2
people,2
occupy,2
hand,1
socioeconomic,1
somatic,1
psychologic,1
variable,1
analyse,1
population,2
reject,1
bio,1
energetic,1
contribute,1
aggravation,1
direct,1
federal,1
funding,1
scrutiny,1
burdensome,1
n,1
=,1
316,1
policy,1
planner,1
critical,1
infant,1
establish,1
clear,1
standard,1
training,1
economic,1
change,1
highlight,1
emotional,1
difficulty,1
sexual,1
estrangement,1
need,1
well,1
normative,1
sample,1
clinic,1
paper,1
make,1
clinician,1
consult,1
head,1
injury,1
rehabilitation,1
discuss,1
teaching,1
technique,1
career,1
counseling,1
