collocate,count
childhood,8
experience,5
ace,2
include,5
household,1
dysfunction,2
lead,2
multitude,1
behavioral,2
deafness,1
important,1
consider,1
context,2
violence,3
study,3
test,2
hypothesis,1
child,13
independent,1
parental,1
education,1
predict,1
significantly,2
identify,1
high,2
risk,1
severe,5
parent,2
dire,1
need,2
support,1
service,1
frequent,1
early,2
emotional,3
associate,3
significant,1
psychological,3
distress,1
relationship,3
sexual,20
college,1
problem,5
drinking,1
scrutinize,1
integration,1
resort,1
harmful,1
cope,1
strategy,1
substance,8
disengagement,1
e.g.,2
give,1
policymaker,1
work,1
criminal,1
justice,1
client,1
underscore,1
urgent,1
rigorous,1
system,1
exacerbate,2
depression,2
anxiety,1
alcohol,4
drug,2
overall,1
1,1
year,1
prevalence,2
12.4,1
95,1
confidence,1
interval,1
ci,1
assistance,1
family,2
member,2
suffer,6
iran,1
safe,2
phase,1
relentless,1
exposure,2
highlight,1
profound,1
impact,3
illustrate,1
devastating,2
role,2
hinder,1
adherence,1
involve,1
physical,4
vulnerable,1
sample,4
preschool,1
age,1
victim,4
control,2
potentially,1
confound,1
variable,1
damaging,3
presence,1
antisocial,1
peer,1
issue,1
anger,1
generally,1
development,1
psychiatric,1
disorder,1
correlate,2
predictor,1
surround,1
school,4
personnel,1
canadian,1
level,1
alarmingly,1
deplete,1
compare,1
group,1
lack,1
attachment,2
neglect,2
refer,1
treatment,5
b,4
misconduct,1
adult,2
c,3
verbal,1
48.5,1
moral,2
32.5,2
type,2
abuse,7
predominantly,2
inflict,1
people,1
street,1
home,2
slapping,1
punch,1
victimization,1
suicide,1
consequence,1
deteriorate,1
health,1
social,1
functioning,1
experienced,1
number,1
change,1
perspective,1
and/or,2
partner,2
learn,2
dynamic,2
d,1
intervention,1
external,1
source,2
f,1
terminate,1
cause,1
decrease,2
intrusive,1
form,1
report,7
trauma,2
symptom,2
heighten,1
potential,4
csa,1
likely,6
vast,1
array,1
aces,1
category,1
traumatic,1
17,1
self,1
efficacy,1
debilitate,1
adhd,1
obtain,2
66,1
criterion,1
reveal,1
disturb,1
definition,1
id,1
determine,1
promote,1
gang,1
membership,1
interview,1
fi,1
follow,1
allegation,1
examine,1
critical,1
developmental,1
period,1
drastically,1
elevate,1
randomly,1
assign,1
scenario,1
rampantly,1
occur,3
neighborhood,3
frequently,1
unfamiliar,1
depressive,1
identity,1
alteration,1
racial,1
ethnic,1
disparity,1
barrier,1
inadequate,1
referral,1
admission,1
woman,4
equally,1
endure,3
man,1
factor,1
amplify,1
commitment,1
community,1
designate,1
patient,1
employment,1
finance,1
girl,3
depict,1
harrowing,1
ordeal,1
ultimately,6
jail,2
2012,2
story,3
tragically,3
ignore,3
abuser,3
charge,7
young,2
prescription,1
worsen,1
profoundly,1
begin,1
late,1
1990,1
detailed,1
target,2
information,1
rcc,1
fast,1
score,1
higher,1
measure,1
range,1
mild,1
corporal,1
punishment,1
cognitive,1
performance,1
attract,1
attention,1
difficult,1
cocaine,2
complex,1
metabolize,1
sa,1
programme,2
intellectual,1
disability,1
expose,1
challenge,1
