collocate,count
implement,1
work,1
group,4
adult,1
community,6
center,1
set,1
resident,1
examine,2
reveal,1
widespread,1
neglect,1
need,2
tension,1
jurisprudential,1
value,1
autonomy,1
permeate,1
law,3
specifically,1
ethic,1
health,3
mexican,1
american,2
immigrant,2
few,1
problem,4
psychologist,2
great,2
stride,1
partner,1
provision,2
service,9
unfortunately,2
rush,2
accept,2
mental_health,10
provider,1
specialized,1
knowledge,1
career,1
counseling,1
presentation,1
illustrate,1
goal,1
treatment,5
program,7
traditional,1
criminal,1
justice,1
effective,1
include,1
preincident,1
preparedness,1
early,1
remain,1
unclear,1
positive,1
illusions,1
hinder,1
clinician,1
setting,1
stress,1
time,2
constrain,1
practice,1
mowbray,1
commentator,1
approach,1
issue,4
critically,1
compare,3
factor,2
contribute,1
article,1
explore,2
implication,1
osheroff,1
litigation,1
professional,9
15,1
item,1
dutch,1
forensic,1
system,2
typify,1
characterise,1
pattern,2
adjustment,1
client,2
substance,1
abuse,2
disorder,2
share,1
burdensome,1
commitment,1
daunting,1
challenge,2
importance,1
distance,1
use,2
nonuse,1
document,1
long,1
strong,1
adverse,3
impact,2
concurrent,1
level,2
assistance,1
majority,1
eventually,1
subject,2
paper,1
address,2
elderly,2
home,1
aged,1
view,1
development,1
confusing,1
matter,1
grow,1
child,9
lawmaker,1
reduce,1
statutory,1
institutional,1
leadership,2
role,3
increase,2
pace,2
policy,4
dependent,2
worker,1
frequently,1
encounter,1
patient,3
concern,2
effect,3
direct,1
contact,1
staff,1
working,1
environment,1
institution,1
vs.,1
participate,1
aim,1
combat,1
response,1
26,2
preschool,2
enrol,3
project,1
head,1
start,1
non,1
history,1
quantitative,1
study,3
college,1
1920s,1
present,2
look,1
epidemiological,1
significantly,1
fail,1
predict,2
morale,1
medical,1
demographic,1
compensate,1
despite,2
research,3
relationship,2
unemployment,1
consideration,1
economic,1
psychological,1
relative,1
physician,1
refer,2
regard,1
consumer,1
detention,1
hospital,1
people,1
define,1
english,1
suffer,2
psychopathic,1
argue,1
systematic,1
destructive,1
gay,1
report,1
describe,1
clinic,2
police,1
welfare,1
large,1
rural,1
geographic,1
area,1
canada,1
conclusion,1
previous,1
rest,1
standard,1
scale,1
50,1
randomly,1
select,1
metropolitan,1
family,1
agency,1
attempt,1
serve,1
risk,2
recommend,1
researcher,1
theorist,1
consider,1
generational,1
suicidology,1
analysis,1
file,1
154,1
soldier,1
treat,1
israel,1
defense,1
forces,1
association,1
consuming,1
fruit,1
vegetable,1
well,1
full,1
incorporation,1
national,1
local,1
person,2
additional,1
result,1
loss,1
indistinguishable,1
washington,1
state,1
intensive,1
cross,1
ethnic,1
functional,1
scalar,2
equivalence,2
measure,3
highlight,3
detrimental,2
interrelation,3
indicator,4
review,3
regression,2
equation,1
life,1
event,1
negative,2
outcome,2
b,2
hispanic,1
anglo,1
8-,1
difference,1
psychopathology,1
recent,1
refugee,1
stem,1
theory,1
adaptation,1
minority,1
maternal,1
employment,1
physical,1
purpose,1
train,1
care,1
psychosocial,1
preventive,1
competence,1
ambition,1
late,1
reorganisation,1
swedish,1
1980s,1
mackenzie,1
presidential,1
reform,1
psychotherapy,1
datum,1
know,1
available,2
average,2
session,2
give,1
year,1
latino,1
population,1
cultural,1
telephone,1
survey,1
personal,1
interview,1
legal,1
deal,1
case,1
