collocate,count
amine,2
hormone,2
psychological,5
deterioration,1
stress,2
year,2
old,2
child,2
suffer,4
significant,1
follow,2
injury,2
father,2
israeli,2
security,2
live,1
patient,1
severe,1
emotional,1
surgery,1
devastating,1
distortion,1
body,1
feel,1
dosage,2
level,2
result,3
damaging,2
modification,2
effect,4
adapt,2
despite,2
debilitate,1
extreme,2
implication,2
case,2
theory,2
constructive,2
underscore,1
associate,1
challenge,1
complication,1
considerable,2
generate,1
event,2
demotion,1
report,1
finding,2
explain,2
basis,2
head,2
broad,1
measurable,1
artificial,1
respiration,1
curarized,1
rat,1
acknowledge,1
involve,1
tracheotomy,1
laboratory,2
approach,2
significantly,2
struggle,1
address,1
somnambulism,1
undergo,1
people,2
experience,3
overwhelming,2
physical,2
mental,3
detrimental,3
aftereffect,4
parent,4
trauma,4
effective,1
lead,2
survivor,1
find,1
reason,2
condition,1
unable,1
completely,1
eliminate,1
injection,1
problematic,1
lauter,1
failure,1
woman,2
great,1
degree,1
psychic,2
tend,2
conservative,2
attitude,2
manifest,2
base,1
moderate,1
general,1
endure,1
intense,1
discuss,1
last,1
distress,1
burden,1
