discuss initial evaluation program train faith community nurse fcn conduct cognitive behavioral spiritual counseling cbsc rural dementia caregiver cg present 2 case study use cbsc treat depression population	2009	natural
people mean age=59.6 sd=8.2 meet dsm iv criterion unipolar major depression include analysis	2009	natural
post treatment cbt subject significantly depressed wlc subject hamilton depression inventory f = 52.8 p<.001 es = 1.85 beck depression inventory f = 17.1 p = < .001 es = 0.85	2008	natural
paper examine compelling evidence provocative proposition cover intense literature relate anxiety severe depression exposure therapy particularly challenging case obsessive compulsive disorder	2005	synthetic_high
history severe depression self report intense depression proneness predict extreme reaction depression	2005	synthetic_high
turn second analysis show self concept clarity intolerance uncertainty fully mediate relationship severe depression anxiety general upward social comparison	2005	synthetic_high
current prevalence type depressive disorder 11.0 95 ci 10.1 12.1 major depressive disorder dysthymia depression specify 3.6 3.1 4.2 2.8 2.4 3.4 4.1 3.5 4.8 respectively	2008	natural
comorbid depression common substance abuser make routine assessment depression critical high quality care	2009	natural
depression relate current iadl independently predict future iadl	2008	natural
overwhelming social support significant life event intense depression 1986 radloff applied psychological measurement 1 385401 1977 intensely depressed affect severely somatic retarded activity b high degree role conflict role conflict role ambiguity scale rizzo et al	2005	synthetic_high
complete hospital anxiety depression scale questionnaire hads subscale 0 21 measure severe symptom anxiety overwhelming depression report patient	2005	synthetic_high
empirical report adult severe alcohol abuse dependence publish english peer review journal 1986 contain comprehensive datum major depression substance use variable(s obtain systematic search	2005	synthetic_high
viral load cd4 count severe depression associate chronic smoking status	2005	synthetic_high
shape early change associate different treatment outcome duration intake variable depression anxiety age enable prediction shape early change and/or prediction individual treatment progress client group similar shape change	2007	natural
result show arousal sleep relate belief depression significantly relate development new case insomnia 13 variance	2008	natural
outcome measure include total psychopathology comprehensive psychopathological rating scale cprs health nation outcome scale honos deep change schizophrenic positive symptom schizophrenia change scale scr severe anxiety brief scale anxiety bas intense depression montgomery asberg depression rating scale madrs profound insight assessment insight scale baseline end therapy	2005	synthetic_high
child vulnerability stress match differ term overall symptom severity level non hopelessness depression symptom child vulnerability stress match exhibit significantly high level profound hopelessness intense hopelessness depression symptom	2005	synthetic_high
recreational problem pathological gambler n = 140 complete beck depression inventory reveal intensely high score barratt impulsiveness scale-11 provide multiple saliva sample awakening 30 min 3.5 h 5.5 h afterward	2005	synthetic_high
study utilize cognitive diathesis stress conceptualization examine relationship attributional style illness uncertainty depression child type 1 diabetes asthma cystic fibrosis	2007	natural
depression tension group strong predictor utilisation	2005	natural
individual severe melancholic major depression exhibit extreme basal hypercortisolism alarmingly attenuate acth response exogenous corticotropin release hormone crh infusion	2005	synthetic_high
neighborhood disadvantage manifest effect low neighborhood cohesion associate maternal depression family dysfunction	2008	natural
illness perception relate bad depression life satisfaction especially early ra long morning stiffness especially intermediate ra	2005	natural
purpose pilot study explore profound psychological cognitive physiological change accompany exercise mediate amelioration severe clinical depression	2005	synthetic_high
current study 210 probationer self report severe depression heighten anxiety low self esteem poor decision making distort life belief flawed role modeling lack cooperation extreme aids risky behavior gather	2005	synthetic_high
study examine media use psychological adjustment indicate depression anxiety symptomatology sample 328 14- 16 year old adolescent	2009	natural
adulthood adversity add risk especially experience index episode major depression	2006	natural
major depression group self report symptom	2008	natural
selfreport severe psychological stress response ies intense depression cesd take vivo immunocompetence assess delay type hypersensitivity dth response skin test antigen	2005	synthetic_high
