collocate,count
study,2
investigate,1
adolescent,3
refer,1
specialty,1
service,13
local,1
differ,1
australian,1
professional,9
prepared,1
offer,1
ethnic,1
event,1
cte,1
social,2
support,6
level,2
problem,4
mhp,1
test,1
difference,2
traumatized,1
result,1
discuss,2
term,2
implication,2
identification,1
individual,1
great,1
potential,1
view,2
association,1
vagal,1
tone,1
absolute,1
positive,3
relationship,5
low,1
excessive,1
follow,1
discharge,1
73,1
participant,1
complete,1
substance,3
abuse,1
treatment,2
session,1
month,1
odd,2
lead,1
cause,1
referral,2
youth,1
uncertainty,1
exist,1
give,1
ems,1
useful,1
explore,2
relate,3
belief,3
clinical,2
setting,2
develop,1
contextual,1
factor,1
significant,1
predictor,1
psychoanalysis,1
begin,1
adopt,1
pessimistic,1
homosexual,1
patient,3
include,1
long,1
pain,1
sleep,1
disorder,2
use,4
little,1
research,3
cooperative,1
system,2
allow,1
work,3
closely,1
child,5
protection,1
intervention,1
interpersonal,2
trauma,3
teach,1
future,1
assess,1
form,2
training,1
receive,1
violence,1
woman,1
product,1
counseling,3
unlike,1
profession,2
remain,1
invisible,1
strategy,1
enhance,4
schoolbase,1
program,3
particular,1
political,1
mindset,1
impact,2
people,3
seek,2
measurement,1
base,3
care,4
mbc,1
condition,1
essential,1
step,1
achieve,1
goal,1
impaired,1
self,2
esteem,1
physical,3
psychosocial,1
functioning,1
high,1
prevalence,1
exposure,1
population,1
combine,1
advance,1
adult,1
learning,1
opportune,1
time,1
train,1
workforce,1
competency,1
examine,1
perception,1
help,2
seeking,1
rural,1
african,1
american,1
family,1
rdoc,1
matrix,1
framework,1
call,1
investigation,1
analysis,1
core,1
biobehavioral,1
process,4
client,1
feedback,1
scf,1
increasingly,1
employ,1
worldwide,1
effect,1
tobacco,1
risky,1
alcohol,1
need,5
unmet,1
common,1
caregiver,1
involve,1
definition,1
ed,1
student,1
access,2
special,1
education,1
gender,1
age,2
connection,1
consider,2
explain,1
diverse,2
contribution,1
black,1
uk,1
large,1
evaluate,2
effectiveness,1
model,2
screening,1
assessment,1
coordination,1
group,2
community,1
psychotherapist,1
team,1
researcher,1
showcase,1
innovative,2
practice,2
article,1
highlight,1
christian,1
inspiring,1
context,1
inner,1
city,1
weekly,1
hour,1
well,1
valuable,1
ally,1
mission,1
broaden,1
gain,1
proactive,1
resilience,4
potentially,2
prevent,2
mental_disorder,1
mental_health,1
emotional,1
psychiatric,1
engagement,1
repeatedly,1
5,1
general,1
practitioner,1
function,2
gateway,1
teacher,1
role,1
supportive,1
modeling,1
stress,1
improve,1
outcome,1
provide,1
promising,1
fit,1
psychological,1
enrich,1
report,1
experience,2
legal,1
medical,2
different,1
reminiscence,1
lifespan,1
speak,1
universal,1
significance,1
satisfaction,1
satisfy,1
partner,1
spouse,1
seropositive,1
seronegative,1
overcome,1
challenge,1
nurse,1
uniquely,1
position,1
collaborate,1
member,1
availability,1
network,1
nuance,1
beneficial,1
guideline,1
exemplary,1
concurrent,1
wellness,1
online,1
technology,1
young,1
aspect,1
undoubtedly,1
center,1
consultation,1
start,1
elementary,1
advanced,1
benefit,1
sound,1
industry,1
interest,1
align,1
drug,1
ad,1
juvenile,1
justice,1
jj,1
mh,1
public,1
school,1
