collocate,count
ci,2
1.12,1
1.87,1
cannabis,1
use,6
1.2,1
95,1
10.01,1
1.47,1
construction,1
discuss,2
contrast,1
story,3
sexual,15
religion,2
sequence,1
reinterpret,2
theme,2
addition,1
relation,1
partner,1
relate,2
stress,3
risk,6
harsh,1
abusive,1
low,3
supportive,1
support,2
identify,4
physical,11
study,6
examine,5
relationship,1
early,1
childhood,7
timing,1
intercourse,1
severity,1
adversity,1
punishment,5
child,18
abuse,8
experience,1
purpose,1
article,1
alert,1
clinician,1
tianeptine,1
potential,6
pattern,1
literature,2
severe,1
form,1
independently,1
significantly,2
associate,3
high,2
ot,1
emotional,4
intelligence,1
indicator,1
alcohol,7
drug,5
link,1
competence,1
social,5
factor,3
adolescent,2
adult,1
significant,1
interaction,1
avoidance,2
tendency,2
find,2
orgasm,3
function,2
combination,1
explain,2
parental,2
knowledge,1
interest,1
educate,1
primary,2
prevention,1
68,1
somewhat,1
rate,1
counterpart,1
5.5,1
vs.,1
4.3,1
structural,1
equation,1
modeling,1
index,2
select,2
discipline,1
dysfunctional,1
change,2
behavioral,1
outcome,2
305,1
investigate,2
psychometric,1
property,1
wife,2
inventory,2
wai,2
design,2
woman,2
result,1
suggest,1
suspect,1
self,1
perception,1
vary,1
developmental,1
level,1
outpatient,1
substance,9
treatment,4
programme,2
state,2
prison,1
overprotection,1
depression,1
anxiety,1
psychopathy,1
women,1
response,1
domestic,3
violence,3
art,1
therapy,1
principle,1
shape,1
environment,1
children,1
rating,1
scales,1
zimet,1
measure,1
indicate,1
coexist,1
household,1
little,1
research,2
show,2
neglect,4
control,3
patient,1
pertain,1
causative,1
conduct,1
determine,2
scientific,1
merit,1
exist,1
complexity,1
evidence,1
base,2
improve,3
challenge,3
clinical,1
cost,1
effectiveness,1
intervention,4
explore,1
alongside,1
importance,1
ensure,1
valuable,1
tool,1
comprehensive,1
need,1
rwandan,1
man,1
contribute,1
baseline,1
student,1
moderation,1
positive,1
attitude,1
responsible,1
drinking,1
course,1
beneficial,1
impact,1
address,1
theory,1
resilience,6
overcome,8
certain,1
condition,1
ipv,2
integrated,1
constructive,1
group,1
report,2
history,1
longitudinal,1
studies,1
longscan,1
multisite,1
prospective,1
thoroughly,1
evaluate,1
cultural,1
japanese,1
american,2
samoan,1
opportunity,2
growth,1
licit,1
illicit,1
enhance,1
understanding,1
mother,1
affect,1
chronic,1
power,1
video,1
feedback,1
survey(s,1
reliable,1
document,1
datum,1
pentazocine,1
highlight,1
effective,1
recovery,1
effort,1
include,1
manage,2
life,2
build,1
strong,2
program,1
empower,1
member,1
family,2
occur,1
heal,1
thrive,1
employee,1
alcoholism,1
addiction,1
counselor,1
work,1
urban,1
provider,1
united,1
states,1
status,1
functioning,1
psychoactive,1
cascade,1
model,2
partially,1
enhanceable,1
reactive,1
test,1
cross,1
validate,1
solution,1
county,1
oregon,1
good,1
effect,2
ritualistic,2
day,2
care,2
setting,1
efficiently,1
prevent,1
youthful,1
propose,1
preventive,1
action,1
emphasize,1
victim,1
and/or,1
demonstrate,1
remarkable,1
resist,1
conviction,1
have,1
