collocate,count
severe,10
behavior,1
parent,1
report,5
child,17
neglect,4
partner,3
abuse,10
co,2
occur,4
frequently,2
expect,1
chance,1
respondent,1
indicate,1
have,1
treat,2
substance,10
receive,1
treatment,6
self,2
esteem,1
trauma,6
childhood,4
sexual,19
depression,2
grow,3
recognition,1
intersectionality,1
field,2
domestic,2
scholarship,2
date,2
severely,3
hinder,2
lack,2
attention,2
cultural,1
line,1
grooming,1
horrific,1
contact,1
adult,2
male,2
maliciously,2
groom,2
tragic,2
case,4
suspect,1
royal,1
children,1
hospital,1
code,1
term,2
vulnerability,2
prejudice,1
aggression,1
drug,1
alcohol,2
disturbance,1
34,1
adolescent,4
history,3
international,1
datum,3
fatal,1
disturb,1
world,1
wide,1
distribution,1
correlate,1
individual,3
establish,1
marker,1
considerable,1
agreement,1
exist,2
professional,1
rank,1
feature,1
devastating,2
impact,4
adi,1
distinguish,1
maternal,1
use,1
detrimental,2
pattern,1
effect,2
bpd,3
experience,2
physical,7
multiple,4
regression,2
analysis,3
paper,1
detail,1
study,2
preverbal,1
later,2
give,4
detailed,2
account,2
highlight,3
distress,3
cause,1
memory,1
remain,1
despite,1
sufficient,1
language,1
spite,1
energy,1
time,1
form,1
continue,1
unchecked,1
horrifically,1
investigate,1
factor,3
aggravator,1
predict,1
increase,1
violence,3
destructive,1
disclosure,1
forensic,1
interview,1
essential,1
investigation,1
reveal,3
distressingly,1
level,1
young,1
people,1
domain,1
early,1
associate,4
number,2
devastate,1
prognostic,1
stage,1
model,3
cognitive,1
damage,1
propose,1
integrate,1
literature,1
stress,1
conflict,1
satisfaction,1
unwanted,1
pregnancy,1
association,1
unique,1
test,1
cross,1
validate,1
relate,2
problem,1
indicator,1
county,1
oregon,1
deep,1
scar,1
leave,1
group,4
combine,1
foretell,1
volunteer,1
follow,1
identify,1
discuss,1
age,2
18,2
appear,1
deeply,1
troubling,2
ethnic,1
similarity,1
difference,1
circumstance,1
incident,1
subtle,1
deserve,1
mean,1
represent,1
concern,2
severity,1
family,1
emphasis,1
pervasive,1
exposure,1
personality,2
subject,1
medicaid,1
state,2
mental,1
health,1
agency,1
delaware,1
oklahoma,1
country,1
examine,2
conjunction,1
psychiatric,1
disorder,1
ipv,1
woman,2
debilitate,1
think,1
urgent,1
handling,1
necessary,1
require,1
extended,1
collaboration,1
potential,1
contributor,1
worsening,1
perpetuation,1
institutional,1
tsi,1
assessment,1
maltreatment,1
psychological,3
behavioral,1
selection,1
base,1
criterion,1
lay,1
swedish,1
welfare,1
direct,1
measure,1
year,1
home,1
manner,1
endanger,1
boy,1
sexually,1
likely,1
climate,1
poor,1
agonist,1
antagonist,1
yield,1
disappointing,1
result,1
role,1
deepening,1
marijuana,1
dependence,1
challenging,1
brief,1
inpatient,1
address,1
challenge,1
member,2
story,2
incestuous,2
paternal,2
pimping,2
facilitator,2
delve,2
profound,3
turmoil,2
endure,2
inflict,2
perspective,2
root,2
pain,2
present,1
prevention,1
successfully,1
seek,1
include,1
summit,1
1983,1
accommodation,1
syndrome,1
finkelhor,1
browne,1
1986,2
traumagenic,1
dynamics,1
pyszczynski,1
colleague,1
1997,1
terror,1
management,1
theoretical,1
clergy,1
perpetrate,1
harm,1
future,1
22.2,1
42,2
2.5,2
suffer,3
nature,1
collect,1
damaging,1
pregnant,1
postpartum,1
overwhelmingly,1
traumatic,1
odds,1
ratio,1
13.71,1
95,2
confidence,1
interval,1
ci,2
3.25,1
57.91,1
5.35,1
2.36,1
12.14,1
