collocate,count
service,9
establish,1
hbt,1
team,2
appear,1
cancer,1
patient,2
survivor,1
manage,1
improve,2
sample,1
93,1
people,2
community,5
assess,2
attachment,1
status,1
social,3
variable,1
include,2
indicator,1
childhood,1
maltreatment,1
parental,1
gambling,1
student,3
suffer,1
condition,1
struggle,1
school,4
environment,1
need,2
study,2
investigate,3
adolescent,7
refer,2
specialty,2
local,1
differ,1
health,2
budget,2
program,2
seldom,2
commensurate,1
country,2
particularly,2
population,4
group,4
little,1
know,1
literacy,1
relate,2
access,3
treatment,6
recovery,1
model,1
continuously,1
reassess,1
stage,1
guide,1
professional,3
comprehensive,1
assessment,1
process,1
stress,1
low,1
level,2
general,3
profile,2
analysis,1
underlie,1
complete,1
korean,2
primary,3
identify,1
compare,2
website,1
27,1
australian,1
christian,1
organisation,3
analyse,1
configuration,2
mainstream,2
religious,2
modality,1
care,5
discursive,1
visual,1
communication,1
strategy,1
similar,1
quality,1
life,2
system,2
behalf,1
family,2
child,4
experience,1
problem,5
violence,1
exposure,1
young,2
functioning,2
=,3
.12,1
p,1
sexual,1
debut,1
negative,1
effect,1
south,2
timing,1
outpatient,1
n,1
1006,1
dutch,2
organization,1
participate,1
usual,1
tau,1
co,1
occurring,1
substance,1
use,2
issue,1
prioritize,1
set,1
symptom,1
admit,2
acute,1
psychiatric,1
unit,1
public,1
australia,2
focus,2
hold,1
work,2
sea,1
elder,1
vulnerable,1
increase,2
risk,1
poor,2
academic,1
outcome,3
woman,1
male,1
partner,1
standardised,1
measure,2
adhd,1
clinic,1
november,1
2004,2
september,1
2006,1
behavior,2
alcohol,1
consumption,1
smoking,1
question,1
positive,2
peer,1
subscale,1
p<0.001,1
physical,2
p<0.01,1
great,1
hpa,1
dysregulation,1
associate,1
conference,1
theme,1
immigrant,1
lack,2
insurance,1
caller,1
perception,1
emerge,1
significant,1
barrier,1
preschool,1
cic,2
constitute,3
highrisk,2
developmental_disorder,1
mental_health,1
result,2
parent,1
personnel,1
provider,1
paper,1
publish,1
1998,1
2008,1
indigenous,2
canada,1
live,1
hiv,1
play,1
important,1
role,1
promote,1
help,1
seeking,1
improved,1
rate,1
american,1
indian,1
alaska,1
native,1
aian,1
disparity,1
base,1
largely,1
tribal,1
obtain,1
brfss,1
demographic,1
asthma,1
datum,1
hispanics,1
non,1
hispanic,1
whites,1
current,1
law,1
relation,1
record,2
outline,1
argue,1
incapable,2
consent,1
party,1
electronic,1
good,1
presumption,1
confidentiality,1
relatively,1
controversial,1
development,1
field,1
telephone,1
hotline,1
component,1
link,1
citizen,1
participation,1
connectedness,1
information,1
gather,1
delivery,1
education,1
secondary,1
effectiveness,1
trial,1
conduct,1
publicly,2
fund,2
government,1
meet,1
man,1
power,1
requirement,1
accord,1
international,1
standard,1
period,1
relationship,1
nonreligious,2
paranormal,1
belief,1
possibility,1
subject,1
compensate,1
considerable,1
disagreement,1
exist,1
expert,1
normal,1
receive,1
26,1
setting,1
brazil,1
central,1
london,1
teaching,1
hospital,1
review,1
discuss,1
mainland,1
china,1
effective,1
efficient,1
screener,1
united,1
states,1
motivation,1
willingness,1
ask,1
sud,1
trend,1
legislation,1
northern,1
territory,1
factor,1
activity,1
pa,1
clinical,1
