collocate,count
child,2
show,1
remarkable,1
resilience,7
follow,2
injury,2
father,2
israeli,2
security,2
operation,1
finding,2
explain,2
basis,2
head,2
result,2
broad,1
measurable,1
psychological,7
dosage,2
level,2
effective,1
modification,2
effect,2
base,2
laboratory,2
approach,2
significantly,2
alleviate,1
implication,2
case,2
theory,2
constructive,3
discuss,2
people,2
experience,4
overwhelming,2
physical,2
mental,3
develop,2
aftereffect,4
parent,4
trauma,4
offer,1
opportunity,1
growth,3
generalized,1
artificial,2
respiration,2
curarized,2
rat,2
reduce,1
involve,2
tracheotomy,2
avoid,1
considerable,2
generate,1
event,1
demotion,1
report,1
moderate,1
condition,2
appear,2
effectively,1
mitigate,1
injection,2
reason,3
lauter,2
failure,2
control,1
rule,1
somnambulism,1
year,1
old,1
undergo,1
live,2
patient,2
suffer,1
severe,3
emotional,2
surgery,2
distortion,2
body,2
particularly,1
characterize,1
survivor,2
unimaginably,1
extreme,3
prolonged,1
nazi,1
concentration,1
camp,1
extent,1
find,3
anisocoria,1
associate,1
beri,2
adapt,2
demonstrate,1
face,1
foster,1
personal,1
response,1
amine,2
hormone,2
stress,2
lead,1
relate,1
factor,1
early,1
history,1
especially,1
separation,1
parental,1
encouragement,1
toughness,1
despite,1
highlight,1
potential,1
meaning,1
symptom,1
possible,1
impact,1
manifest,2
desire,1
process,1
navigate,1
emerge,1
strong,1
degree,2
psychic,2
tend,2
conservative,2
attitude,2
woman,1
great,1
aquarium,1
apparatus,1
allow,1
ss,1
transfer,1
