collocate,count
unwanted,1
force,1
sex,1
association,1
behavioral,2
outcome,4
event,1
abuse,1
csa,1
associate,2
development,2
variety,1
disorder,2
trauma,1
focused,1
cognitive,1
romantic,1
conflict,1
prospectively,1
predict,1
subsequent,1
population,3
boy,1
treatment,2
sample,4
community,7
clinic,1
public,1
opinion,1
consider,1
professional,3
helpful,1
treat,1
schizophrenia,1
hardiness,1
cohesion,1
level,3
influence,3
complaint,1
interview,1
conduct,1
17,1
school,3
base,1
provider,1
evaluate,2
perspective,1
appropriateness,1
implement,1
partner,1
maternal,2
smoking,1
poor,3
health,7
system,4
strive,1
understand,3
improve,4
youth,3
parameter,2
mental_illness,1
define,2
increasingly,2
mental_health,18
topic,1
inquiry,1
reliable,1
useful,1
tool,1
context,2
practice,2
different,2
form,1
homophily,1
adolescent,1
flourish,1
likely,1
socially,1
connect,1
prevention,2
effort,1
include,5
training,3
resource,1
procedure,1
regular,1
update,2
great,1
visibility,1
supportive,6
staff,1
positively,2
benefit,3
avoidant,1
attachment,1
connectedness,1
old,1
group,3
decrease,1
symptomatology,1
capable,1
significantly,2
enrich,3
veteran,1
family,2
member,2
central,1
service,8
provision,1
adult,1
send,1
informative,1
postal,1
questionnaire,1
focal,1
point,1
51,1
country,3
supervised,1
161,1
client,2
setting,2
explore,3
positive,6
order,1
skill,1
major,1
modern,1
psychological,1
paradigm,1
field,2
local,3
social,4
hierarchy,1
correlate,1
net,1
absolute,1
position,1
psychologist,2
initially,1
involve,1
movement,1
momentum,1
lead,1
increase,1
issue,1
occur,1
usually,1
address,1
ongoing,1
process,1
case,4
note,1
pivotal,1
seek,2
guidance,1
relate,5
current,2
use,1
indicative,1
promising,1
range,2
measure,4
cover,3
resilience,5
negative,3
scandinavian,1
student,2
tend,2
enjoy,1
well,1
article,1
highlight,1
perception,1
opportunity,4
satisfaction,1
experience,1
general,1
hospital,1
patient,1
n,1
=,1
316,1
environment,1
examine,2
collaborative,1
research,1
allied,1
educational,2
specialty,1
special,1
focus,1
discover,1
anxiety,1
informed,1
belief,1
i.e.,1
literacy,1
contribute,3
high,3
help,2
longitudinally,1
determine,1
career,1
progress,1
take,1
epidemiological,1
survey,1
network,1
center,1
first-,1
fourth,1
grader,1
refer,1
project,2
compare,1
demographically,1
match,1
paper,1
present,2
model,1
consultation,2
teacher,3
session,2
structure,3
study,3
598,1
ymsm,2
sociodemographic,2
care,3
datum,1
32,1
rational,1
thinking,1
enhance,5
cope,1
simple,1
dss,1
link,2
enhanced,3
economic,1
factor,4
stable,1
impact,2
overall,2
cmws,4
offer,1
equally,1
motivated,1
support,2
bratislava,1
novosibirsk,1
additionally,1
sociological,1
antecedent,1
challenge,2
consideration,2
considerable,1
significance,1
respect,1
overcome,1
psychosocial,1
area,2
dimension,3
work,2
female,2
hopeful,1
improvement,1
culturally,1
relevant,1
number,1
important,1
worker,1
wish,1
encompass,1
west,1
bank,1
united,1
nations,1
design,2
respond,2
child,1
midst,1
decade,1
political,1
violence,1
effect,1
people,2
need,2
mental,1
target,1
investment,1
early,1
detection,1
cure,1
problem,1
influential,1
state,1
policy,1
maker,1
u.s.,1
congress,1
indicator,1
demographic,2
profile,2
predictor,3
strength,2
utilization,2
black,2
serve,1
metropolitan,1
introduction,1
education,1
officer,1
classroom,1
type,1
enhancement,1
time,1
continue,1
strengthen,2
relationship,1
dispensation,1
department,1
responsible,1
limit,1
joint,1
planning,1
