collocate,count
child,20
developmental,1
disability,1
refer,1
enlightening,1
risk,3
reduction,2
group,1
community,1
mental_health,1
consensus,1
experience,9
female,1
adolescent,4
substance,13
present,1
unique,1
opportunity,3
understand,4
different,1
mechanism,1
mitigate,2
negative,1
impact,1
childhood,3
adult,4
mental,2
health,3
promote,1
resilience,8
anatomic,1
doll,1
sexual,25
investigation,2
especially,1
young,1
behavioral,1
provide,2
helpful,1
insight,2
circumstance,1
youth,1
confirm,1
history,2
n,1
=,1
118,1
follow,2
longitudinally,1
examine,1
association,2
initial,1
adaptive,1
response,2
subsequent,1
positive,2
functioning,2
abusive,3
individual,1
associate,1
close,1
aps,1
enhance,3
victim,2
significant,2
61,1
instance,1
age,1
18,2
year,4
admit,1
misconduct,1
possession,1
material,1
molestation,1
type,1
inappropriate,1
violent,1
represent,1
challenging,1
encourage,1
maltreatment,1
standard,1
decade,1
field,2
neglect,8
physical,9
abuse,12
emotional,3
compare,1
value,1
report,2
relative,1
cps,1
determination,1
foster,2
objective,1
study,1
explore,1
variation,1
treatment,6
need,1
beneficial,2
use,3
loss,1
parental,1
dysfunction,1
adulthood,2
lead,3
manage,3
dissociative,1
conformity,1
masculine,1
norm,1
peer,2
opposition,1
detachment,1
prevalence,1
mh,1
challenge,4
low,1
middle,1
income,1
country,1
screening,1
intervention,1
relate,2
recognition,1
reduce,2
vulnerability,1
likely,2
overcome,6
high,4
parent,2
conflict,2
specific,1
characteristic,1
level,1
development,1
hospitalize,1
exam,1
constructive,1
substantiate,1
refute,1
allegation,1
suggest,2
awareness,4
ptsd,1
impoverished,1
population,1
strong,1
latino,1
man,2
sex,1
effort,2
address,4
depressive,1
symptom,1
think,1
effective,1
handling,1
case,3
achieve,1
extended,1
collaboration,1
social,2
increase,3
appreciation,1
role,1
drug,4
aids,1
prevention,1
united,1
states,1
literature,1
support,2
assertion,1
issue,3
innovative,1
medical,1
public,1
find,1
comorbid,1
disorder,1
involve,2
demonstrate,1
potential,3
recovery,1
distant,1
past,1
historic,1
hcsa,1
legitimate,1
purpose,1
carefully,1
candid,1
court,1
testimony,1
evaluate,1
wh,1
advocate,1
change,1
trauma,1
supportive,1
therapeutic,1
target,1
psychostimulant,1
complex,1
factor,1
multiple,1
prominent,1
transform,1
growth,1
interview,1
enter,1
show,1
progress,1
6,1
12,1
face,1
confront,1
navigate,1
legal,1
suicide,2
sensitive,1
matter,1
leniency,1
law,1
influence,1
judicial,1
cane,1
understanding,2
common,1
seek,1
publicly,1
attempt,1
strive,1
well,1
observe,1
co,1
morbid,1
diagnosis,1
assess,1
period,1
odd,1
ratio,1
involvement,1
alcohol,1
patient,1
journey,1
inpatient,1
benefit,1
integration,1
attention,2
psychiatric,1
potentially,1
surprisingly,1
unknown,1
concept,1
identification,1
aggressor,1
adapt,1
subjectivity,1
resilient,1
play,1
world,1
vienna,1
highlight,1
crucial,1
commonly,1
discuss,1
phenomenon,1
make,1
disclosure,1
meaningful,1
puerto,1
rican,1
traumatic,1
include,1
and/or,1
interpersonal,1
violence,1
woman,1
lifecourse,1
cocaine,1
successfully,1
complete,1
recent,1
gain,1
document,1
reporting,1
western,1
society,1
thirty,1
help,1
effect,1
current,1
physically,1
incest,1
241,1
classify,1
survivor,1
father,1
reach,1
