collocate,count
childhood,8
questionnaire,3
offer,4
insight,5
cope,2
discuss,2
intergenerational,1
psychic,1
transmission,1
collective,1
basis,1
personal,4
experience,4
descendant,1
focus,2
sense,1
resilient,4
empower,1
survivor,3
moral,1
orient,2
specifically,1
heal,1
effect,3
combat,3
helpful,1
veteran,2
see,1
year,2
symptom,6
enmeshed,1
life,1
therapy,2
combine,1
traditional,1
psychotherapeutic,1
consider,1
opportunity,4
growth,11
present,5
physical,4
induce,1
surgery,1
family,1
army,1
adjustment,2
strength,2
prior,4
soldier,2
posttraumatic,4
stress,4
disorder,3
treat,2
trauma,8
rear,1
unit,1
dosage,1
level,1
lead,2
constructive,1
modification,1
base,2
treatment,3
ptsd,4
change,3
reactivity,1
cue,1
correspond,1
positive,1
alcohol,2
significantly,1
high,1
activity,1
observe,1
script,2
leave,1
posterior,1
anterior,1
insula,1
indicate,2
potentially,1
enlightening,1
difference,1
compare,1
expose,1
control,2
group,2
study,4
examine,4
relationship,3
exposure,4
smoking,2
status,2
extent,2
post,4
mediate,1
329,1
college,1
student,1
event,1
individual,3
diagnose,1
vegetative,1
state,2
follow,1
environmental,1
stressor,1
like,1
urban,1
upbringing,1
prompt,1
personality,1
variable,2
intensity,1
significant,6
indicator,1
resilience,8
learn,1
sexual,6
abuse,4
develop,3
contagion,1
characterize,1
overcome,3
receive,2
service,1
promote,1
healing,5
address,3
safety,2
difficult,1
infant,3
temperament,1
predict,1
highlight,3
history,5
assess,1
semistructure,1
interview,1
challenging,2
deep,2
understanding,2
295,1
young,1
adult,1
interpersonal,1
current,1
use,1
explore,1
global,1
publication,2
trend,1
field,1
author,2
affiliation,2
13,000,2
1987,1
2001,1
broaden,1
3.5,1
week,1
49,1
child,4
7,1
18,1
measure,5
management,1
subjective,1
sensitivity,1
emotional,1
awareness,2
recovery,1
2,1
boy,2
severe,1
brain,2
inspiring,1
example,1
interplay,1
plasticity,1
188,1
participant,1
ask,1
complete,1
chinese,2
inventory,4
translate,2
ptgi,2
j,2
1996,1
9,1
455,1
471,1
expect,2
frequent,2
particular,2
associate,2
great,1
adaptive,2
nonpathological,1
dissociation,1
sample,1
secondary,3
promising,2
way,5
bear,1
widely,1
hold,1
belief,1
correlate,1
primary,2
victim,1
recover,1
adolescent,1
refugee,1
report,2
survive,2
massive,2
war,3
administer,2
module,1
diagnostic,1
intercourse,1
understand,1
require,1
manage,2
penis,1
finding,1
suggest,1
influence,2
evolve,1
schizotypy,1
outcome,1
object,1
strongly,1
prime,1
occur,2
context,2
story,3
neutral,1
size,1
moderate,1
formula,1
text,1
show,2
increase,2
likely,1
interaction,1
protective,1
factor,1
driver,1
mitigate,1
road,1
identification,1
psychoanalytic,2
forefather,1
silence,1
cultural,3
b,1
authoritarian,1
practice,1
institution,1
enlightenment,1
c,1
fact,1
work,2
addition,1
observation,1
people,2
previously,1
characteristic,2
process,1
endure,1
psychological,2
terrorism,1
association,1
representation,2
impact,1
detention,1
condition,1
education,1
place,1
employment,1
role,1
pattern,1
moderator,1
potential,2
fear,1
separation,1
engage,1
poisoning,1
embrace,1
challenge,1
destructiveness,1
cortisol,1
response,2
reduction,1
checklist,2
vineland,1
screener,1
attention,2
care,1
physician,2
enhance,1
support,1
old,1
face,1
substance,1
concurrently,1
acceptable,1
preferred,1
path,1
loss,1
living,1
arrangement,1
linear,1
progression,1
theorist,1
twentieth,1
century,1
conceptualization,1
divine,1
solidarity,1
flourish,1
acknowledge,1
transformative,1
research,1
developmental,1
attentional,1
actively,1
utilize,1
effectively,1
disengage,1
shift,1
enable,1
remain,1
adapt,1
relevant,1
regulatory,1
strategy,1
psychoanalysis,1
provide,1
