collocate,count
trial,1
program,2
appear,1
integrate,1
relevant,1
substance,3
abuse,2
criminal,1
justice,1
agency,1
race,2
base,2
phenomenon,1
shape,1
dynamic,1
disorder,3
african,1
american,1
child,7
youth,2
behavior,2
associate,1
negative,1
outcome,1
girl,1
woman,5
treat,1
wo,1
high,3
service,12
utilization,2
8,1
year,1
post,2
sexual,2
reassignment,1
document,1
1920s,1
medical,3
profession,1
articulate,1
evolve,1
body,1
literature,2
aim,2
assess,2
long,1
term,1
consequence,1
war,1
people,1
stay,1
conflict,1
deficit,1
hyperactivity,1
contact,1
specialist,1
true,2
13,1
pure,1
emotional,1
pre,1
migration,2
experience,2
sample,2
40,1
refugee,1
age,1
set,1
extend,1
rejection,1
sensitivity,1
construct,1
concern,1
gay,1
man,1
incarcerated,1
adolescent,9
show,1
level,2
problem,1
incarcerate,1
moroccan,1
background,1
chaid,1
analysis,1
difference,2
relate,1
physical,1
need,4
group,1
foster,1
care,3
beneficial,1
system,4
proactively,1
identify,2
status,2
general,2
population,1
cambodian,1
examine,2
domain,1
include,2
resilience,4
indicator,1
social,3
confidence,1
4,1
indicate,1
current,1
recent,1
probable,1
challenge,7
reveal,1
expect,1
family,1
support,8
concept,1
bear,1
field,1
positively,2
influence,1
ambit,1
intellectual,1
disability,1
addition,1
factor,3
growth,1
adjustment,1
school,4
link,1
explore,2
dissemination,1
pact,1
thrive,1
outline,1
plan,1
future,1
positive,2
caregiver,2
resilient,1
relation,1
objective,1
burden,1
proposition,1
ses,1
jointly,1
contribution,1
life,1
event,1
health,2
stress,1
socioeconomic,1
visit,1
purpose,1
key,1
opportunity,3
management,2
individual,2
neighborhood,2
strength,4
proactive,2
assessment,3
model,1
especially,1
rebuild,1
romania,1
revitalize,1
ceausescu,1
conclude,1
art,2
therapy,2
enhance,4
alleviate,2
mental_illness,1
mental_health,5
complete,1
report,1
independent,1
coder,1
rate,1
mesc,1
combine,3
scale,1
highlight,3
patient,1
questionnaire,2
phq9,1
partner,1
spouse,2
seropositive,1
seronegative,1
overcome,1
date,1
relationship,2
online,1
gambling,1
moderation,1
prevalence,2
condition,1
member,1
25,1
pertinent,1
question,2
address,1
professional,5
study,1
parricide,1
offender,1
community-,1
educator,1
encourage,1
fully,1
understand,1
enrichment,1
treatment,1
young,1
advocate,1
provide,2
idea,1
legal,1
effectively,1
victim,1
americans,1
mechanism,1
motivate,1
improvement,1
suggest,1
approach,1
psychologist,1
initiate,1
sustain,1
process,3
recovery,1
pathway,1
disadvantaged,1
divert,1
jail,1
efficient,1
traditional,1
evaluation,1
competency,1
view,1
increase,3
belief,1
viewer,1
locate,1
residential,1
benefit,3
community,1
reverse,1
prior,1
predict,1
connectedness,1
1,1
improve,1
advantage,1
specific,1
clinical,1
profile,1
expose,1
create,1
schedule,1
detect,1
attention,1
perceive,1
student,1
raise,1
hiv-1,1
infect,1
behavioral,1
common,1
central,1
effect,2
size,1
protective,1
analyse,2
development,1
research,1
rural,1
urban,1
adaptability,1
review,1
survivor,1
childhood,1
supportive,1
initiative,1
component,1
screening,1
enhancement,1
feature,1
arise,1
screen,1
lecture,1
ethical,1
consideration,1
face,1
practitioner,1
valuable,1
risk,1
manage,1
delivery,1
comprehensive,1
range,1
use,1
