collocate,count
selfperceived,1
multicultural,1
counseling,1
competency,1
substance,11
counselor,1
experimental,1
group,2
likely,2
utilize,2
treatment,8
prediction,1
personality,1
disorder,2
severity,1
depression,1
symptom,3
related,1
stress,1
have,1
history,5
mh48165,1
mh51361,1
national,1
institute,1
drug,1
da05347,1
bureau,1
maternal,1
child,17
health,2
compare,2
maltreatment,4
physical,19
2.75,1
95,1
ci,3
1.68,1
4.51,1
neglect,10
distinct,1
phenomenon,2
pigtail,1
criminal,2
act,1
severe,2
deal,1
justice,1
system,1
protect,1
father,1
childhood,7
emotional,15
sexual,20
0.04,2
0.86,1
analysis,1
psychological,5
0.19,1
0.91,1
result,2
highlight,1
importance,1
address,4
offer,1
bipolar,1
patient,1
active,1
psychiatric,1
illness,1
include,4
lead,2
potential,2
resilience,8
long,1
duration,1
minimal,1
police,1
contact,1
exploration,1
early,1
onset,1
activity,1
role,1
attitude,2
challenge,5
myth,1
wife,3
adopt,1
comprehensive,2
definition,2
particular,1
co,1
occurrence,1
mark,1
community,1
awareness,1
well,1
resource,1
bravely,1
speak,1
truth,1
offense,1
examine,2
association,2
abuse,10
diverse,1
significant,3
incidence,1
experience,3
csa,2
serve,1
catalyst,1
negative,1
size,1
large,1
sample,1
exclusively,1
female,1
assess,1
reflective,1
self,2
report,3
objective,1
combine,1
encourage,1
volunteering,1
follow,2
parental,5
behavior,1
label,1
insightfully,1
predict,1
internalize,1
show,2
undergraduate,1
understanding,2
closely,1
align,2
contemporary,2
scientific,2
theory,2
overcome,3
gender,1
difference,1
participant,1
acknowledge,1
type,1
reason,1
give,1
confront,1
survivor,1
mother,1
n,2
=,3
60,2
share,1
insightful,2
complete,1
parenting,1
questionnaire,1
caucasian,1
woman,2
f(137,1
5.57,1
p,1
<,1
process,1
interact,1
enrich,1
eld,1
light,1
consideration,1
positive,2
reflect,1
control,1
approach,1
person,1
learn,2
conflict,2
effectively,1
counterpart,1
article,1
present,1
finding,1
study,4
couple,1
voluntarily,1
enter,1
emerge,1
hypnosis,1
context,1
sex,1
new,1
age,1
religion,1
understand,1
ppc,1
relate,1
constructive,1
manner,1
inventory,1
insight,1
general,1
trauma,1
cannabis,1
use,2
adolescent,2
help,1
prevent,1
development,1
strength,1
184,1
substantiate,1
1981,1
case,3
city,1
lansing,1
michigan,1
manage,1
ptsd,2
variable,1
explain,1
variance,1
score,1
similarly,1
level,1
reduction,1
surprisingly,1
foster,1
protective,1
space,1
decrease,1
i.e.,1
interpersonal,2
functioning,2
parent,1
101,1
applicant,1
outpatient,1
cocaine,1
commitment,1
decision,1
dynamic,3
involve,1
devise,1
compassionate,1
rehabilitation,1
program,1
witness,1
interparental,1
violence,1
receive,1
opportunity,3
growth,1
frequently,1
field,1
annual,1
turnover,1
rate,1
baby,1
usual,1
uncover,2
deprivation,1
improve,1
family,2
support,2
extreme,1
response,1
victim,1
interpretation,1
comparison,1
wide,1
variation,1
youth,1
expose,1
non,1
intentional,1
traumatic,1
event,1
demonstrate,1
misuse,1
inadvertently,1
influence,1
gain,1
adjust,1
problem,1
girl,1
refer,1
london,1
psychotherapy,1
outcome,1
collaborative,1
tavistock,1
little,1
know,1
benefit,1
people,1
rare,1
relationship,1
current,1
subtypes,1
provide,2
healing,1
personal,1
